ADP_CODI,ADP_TIIB,ADP_DETA,ADP_TIVA,ADP_TIMP,ADP_WEB
1,1,SEGURIDAD           ,1,0.0,0
2,1,SOLDADURA           ,1,0.0,0
3,1,MAQ. Y HERRAMIENTAS ,1,0.0,1
4,1,REPARACIONES        ,1,0.0,0
5,1,GASES               ,1,0.0,0
6,1,BULONERIA           ,1,0.0,0
7,1,DISCOS ABRASIVOS    ,1,0.0,0
8,1,ACCESORIOS GRAL.    ,1,0.0,0
9,1,GASTOS GENERALES    ,1,0.0,0
10,1,JOSE RIONS SA       ,1,0.0,0
11,1,LUBRICANTE          ,1,0.0,0
12,1,LIJA-CEPILLOS       ,1,0.0,0
13,1,PEGAMENTOS          ,1,0.0,0
14,1,GALVANIZADO         ,1,0.0,0
15,1,APAREJOS            ,1,0.0,0
16,1,MEMBRANA            ,1,0.0,0
17,1,PINTURAS            ,1,0.0,0
18,1,ELECTRICIDAD        ,1,0.0,0
19,1,LIMPIEZA            ,1,0.0,0
20,1,REPUEST AUTOM       ,1,0.0,0
21,1,COMIDA              ,1,0.0,0
22,1,CORTE  PLASMA       ,1,0.0,1
23,1,REPELADO            ,1,0.0,0
24,1,ESLINGAS            ,1,0.0,0
25,1,ESLINGAS            ,1,0.0,0
