ARU_DPTO,ARU_KEY,ARU_CODI,ARU_DETA,ARU_WEB
1,00010001,1,EPP                 ,0
5,00050001,1,LINDE               ,0
4,00040001,1,REPARACION          ,0
7,00070001,1,ALIAFOR             ,0
2,00020001,1,CONSUMIBLES         ,0
2,00020002,2,REPUESTOS           ,0
2,00020003,3,EPP                 ,0
2,00020004,4,MAQUINAS            ,0
2,00020005,5,LLAMA               ,0
1,00010002,2,SEGURIDAD           ,0
7,00070002,2,KLINGSPOR           ,0
7,00070003,3,DESBASTE            ,0
7,00070004,4,CORTE               ,0
3,00030007,7,HIDROLAVADORA       ,0
2,00020006,6,MAQUINAS ELECTRICAS ,0
3,00030009,9,HERRAMIENTAS DE MANO,0
3,00030010,10,CORTE DE PLASMA     ,0
22,00220001,1,CONSUMIBLES         ,0
22,00220002,2,CARBON DE ARCAI     ,0
23,00230001,1,ELECTRODOS          ,0
3,00030011,11,REPUESTOS           ,0
8,00080001,1,SIERRA DISCO        ,0
3,00030012,12,APAREJOS Y OTROS    ,0
15,00150001,1,A PALANCA           ,0
24,00240001,1,POLIESTER           ,0
3,00030013,13,EZETA               ,0
3,00030006,6,ARGENTEC            ,0
3,00030014,14,ACCESORIOS          ,0
22,00220003,3,REFRIGERANTE        ,0
3,00030015,15,HERRAMIENTAS ELECTRI,0
15,00150002,2,YALE                ,0
3,00030016,16,HER NEUMATICAS      ,0
3,00030017,17,SORRENTO            ,0
7,00070003,3,TYROLIT             ,0
3,00030018,18,MEDICION            ,0
3,00030019,19,REPUESTOS           ,0
2,00020007,7,TORCHAS             ,0
3,00030020,20,GENERADORES         ,0
1,00010003,3,ROPA DE TRABAJO     ,0
3,00030021,21,HERR HIDRAULICAS    ,0
3,00030022,22,HERR NEUMATICAS     ,0
3,00030023,23,MACHOS HSS          ,0
1,00010004,4,CALZADO             ,0
25,00250001,1,CABLES              ,0
6,00060001,1,AUTOPERFORANTES     ,0
4,00040002,2,SERVICIOS           ,0
3,00030024,24,MEDICION            ,0
3,00030025,25,REPUESTOS           ,0
8,00080002,2,MUEBLES METALICOS   ,0
3,00030026,26,MECHAS              ,0
5,00050002,2,CIL REACONDICIONADOS,0
7,00070005,5,ROLLOS              ,0
7,00070006,6,HOJAS               ,0
7,00070007,7,DISCOS CON VELCRO   ,0
18,00180001,1,MEDICION Y CONTROL  ,0
7,00070008,8,RUEDAS              ,0
8,00080003,3,ACOPLES             ,0
15,00150003,3,ACCESORIOS          ,0
