ASR_RUBR,ASR_KEY,ASR_CODI,ASR_DETA,ASR_DPTO,ASR_WEB
1,000100010001,1,ACCESORIOS          ,1,0
1,000500010001,1,COMISION            ,5,0
1,000400010001,1,MAROTI              ,4,0
1,000200010001,1,PTA AZUL            ,2,0
1,000200010002,2,CELULOSICOS         ,2,0
1,000200010003,3,BASICOS             ,2,0
1,000200010004,4,RUTILICOS           ,2,0
1,000200010005,5,ALAMBRES            ,2,0
1,000200010006,6,ESPECIALES          ,2,0
1,000200010007,7,DUROS               ,2,0
1,000200010008,8,INOXIDABLES         ,2,0
1,000200010009,9,POLVOS              ,2,0
1,000200010010,10,FLUX                ,2,0
3,000200030001,1,ACCESORIOS          ,2,0
3,000200030002,2,TORCHAS             ,2,0
4,000200040001,1,HOBBY               ,2,0
4,000200040002,2,LIGTH INDUSTRIAL    ,2,0
4,000200040003,3,HEAVY INDUSTRIAL    ,2,0
4,000200040004,4,HIGT TECH           ,2,0
1,000400010002,2,MEYER               ,4,0
1,000200010011,11,HYPERTHERM          ,2,0
1,000400010003,3,MERCAR              ,4,0
2,000100020001,1,SEG LITORAL         ,1,0
4,000700040001,1,ALUMINIO            ,7,0
3,000700030001,1,ALUMINIO            ,7,0
7,000300070001,1,ABC                 ,3,0
6,000200060001,1,ATORNILLADORES      ,2,0
1,000400010004,4,GAN MAR             ,4,0
5,000200050001,1,SOPLETES C/ARRESTALL,2,0
5,000200050002,2,ACCESORIOS          ,2,0
10,000300100001,1,MANUAL              ,3,0
1,002200010001,1,MANUAL              ,22,0
1,000200010012,12,ALTA RESISTENCIA    ,2,0
1,000200010013,13,PARA ALUMINIO       ,2,0
1,000400010005,5,CARAN               ,4,0
4,000200040005,5,INVERTER            ,2,0
4,000200040003,3,TIG                 ,2,0
1,000400010003,3,CONDOR              ,4,0
1,000400010003,3,BUENOS AIRES WELDING,4,0
1,000400010003,3,SORTI               ,4,0
1,000400010006,6,PARCT               ,4,0
13,000300130001,1,HERRAMIENTAS        ,3,0
1,000400010004,4,PAPIERTEI           ,4,0
1,000400010007,7,FARIAS              ,4,0
1,002200010002,2,MECANIZADO          ,22,0
1,000400010008,8,TECNOSOL            ,4,0
1,000200010014,14,ALAMBRES ESPECIALES ,2,0
2,000200020001,1,TORCHAS Y CONSUMIBLE,2,0
1,000200010015,15,ALAMBRES TUBULARES  ,2,0
2,001500020001,1,ORTIZ FICHER        ,15,0
9,000300090001,1,JUEGOS              ,3,0
2,000100020002,2,BOTINES             ,1,0
17,000300170001,1,SORRENTO            ,3,0
1,000100010002,2,ELEMENTOS ANTICAIDAS,1,0
9,000300090002,2,CR                  ,3,0
1,000400010009,9,BDS                 ,4,0
1,000400010009,9,CASA CLEMENS        ,4,0
1,000400010010,10,MACOFER             ,4,0
1,000400010011,11,MOLINA CESAR -MAKITA,4,0
1,000400010012,12,TAURO-FMQ           ,4,0
1,000400010013,13,FMQ                 ,4,0
1,000400010009,9,SOLDADURA CENTRO    ,4,0
19,000300190001,1,MEYER               ,3,0
10,000300100002,2,LIGHT INDUSTRIAL    ,3,0
10,000300100003,3,HEAVY INDUSTRIAL    ,3,0
10,000300100004,4,MECANIZADO          ,3,0
7,000200070001,1,CONSUMIBLES         ,2,0
15,000300150001,1,BOSCH               ,3,0
4,000200040006,6,AUTOMATION          ,2,0
15,000300150002,2,TALADRO S/PERCUSION ,3,0
9,000300090003,3,HERRAMIENTAS        ,3,0
23,000300230001,1,WHITWORTH GRUESA    ,3,0
23,000300230002,2,METRICA GRUESA      ,3,0
1,000100010003,3,RESPIRATORIA        ,1,0
23,000300230003,3,NF                  ,3,0
1,000100010004,4,PROTECCION VISUAL   ,1,0
15,000300150003,3,PARCT               ,3,0
1,000400010014,14,ORTIZ Y FISCHER     ,4,0
1,000400010009,9,ALANIZ              ,4,0
1,000100010005,5,PROT RESPIRATORIA   ,1,0
4,000200040007,7,DE PUNTO            ,2,0
1,000100010006,6,PROTECCION AUDITIVA ,1,0
10,000300100005,5,CUTTING             ,3,0
5,000700050001,1,TELA ESMERIL        ,7,0
5,000700050002,2,FIBRA SINTETICA     ,7,0
6,000700060001,1,LIJA AL AGUA        ,7,0
6,000700060002,2,MADERA/PARED        ,7,0
6,000700060003,3,TELA ESMERIL        ,7,0
7,000700070001,1,ANTIEMPASTANTE      ,7,0
26,000300260001,1,CIL ACERO RAPIDO    ,3,0
1,000400010009,9,SACAPOL             ,4,0
1,000400010009,9,ARGENSPRAY          ,4,0
3,001500030001,1,GRILLETES           ,15,0
9,000300090004,4,BOCALLAVES Y ACCESOR,3,0
15,000300150004,4,ACCESORIOS          ,3,0
7,000300070002,2,PROFESIONAL         ,3,0
