AMA_CODI,AMA_DETA
1,ESAB                     
2,BAW                      
3,COSTANTINI               
4,COMAFER                  
5,LINDE                    
6,FREEMANS                 
7,ESSEX                    
8,ALIAFOR                  
9,MUSITARI                 
10,SEG LITORAL              
11,MEYER                    
12,LOSARC                   
13,EUTECTIC                 
14,CONARCO OK               
15,CONARCO                  
16,HYPERTHERM               
17,ARGENFLOW                
18,RUMBOS                   
19,TECNOSOL                 
20,FRAVIDA                  
21,BOSCH                    
22,BAHCO                    
23,ABC                      
24,MAFERSA                  
25,ALFRA                    
26,BERMON                   
27,SEG LITORAL              
28,KLINGSPOR                
29,MUSITANI                 
30,KARCHER                  
31,ORTIZ Y FISCHER          
32,FPL                      
33,GAN MAR                  
34,GEDORE                   
35,STANLEY                  
36,KEMEN                    
37,ARCAI                    
38,MAKITA                   
39,ENERPAC                  
40,FERPACK                  
41,TYVEK                    
42,LIBUS                    
43,SATA                     
44,DREMEL                   
45,GRIDEST                  
46,CARAN                    
47,TRUPER                   
48,SOLTER                   
49,SOLDADURA CENTRO         
50,EZETA                    
51,EXPERTO                  
52,YALE                     
53,SKY                      
54,EMAPI                    
55,MARTIN                   
56,MACOFER                  
57,FISCHER                  
58,SALKOR                   
59,NEO                      
60,LENOX                    
61,PROWORK                  
62,TAURO                    
63,GREEN PIN                
64,CAMPBELL HAUSFELD        
65,NIWA                     
66,LARA                     
67,OMBU                     
68,SORRENTO                 
69,MORHERCO                 
70,CR                       
71,GHERARDI                 
72,BARBERO                  
73,BIASSONI                 
74,IRWIN                    
75,TYROLIT                  
76,FIXO                     
77,3M                       
78,FORTEX                   
79,JOHNSON                  
80,VERTIENTE                
81,DIXILINA                 
82,CROSSMASTER              
83,ANSA                     
84,FLUKE                    
85,EVEL                     
86,NICHOLSON                
87,TACSA                    
88,DELBRE                   
89,DE PASCALE               
90,FUNCIONAL                
91,DOWEN PAGIO              
92,BELARRA                  
93,DIVISA                   
94,COLOMBRARO               
95,SKIL                     
96,VENTURO                  
97,BIGUA                    
98,PERFECTO                 
99,HERRAMAR                 
100,DEWALT                   
101,URANGA                   
102,PARCT                    
103,LINCOLN                  
104,ARMSTRONG                
105,TBCIN                    
106,VICTOR                   
107,CUTMASTER                
108,BTA                      
109,KIMBERLY-CLARK           
110,PENTAX                   
111,MAGAL                    
112,MITUTOYO                 
113,SIN PAR                  
114,LA FONTAINE              
115,BENI OMAR                
116,OMBU                     
117,SACAPOL                  
118,RAYOVAC                  
119,LA FONTAINE              
120,COVIAT                   
121,MAXWELD                  
122,TEL                      
123,BUFFONI                  
124,AMPHENOL                 
125,WYPALL                   
126,ESLINGAR                 
127,3M                       
128,EL ROBLE                 
129,IRIMO                    
130,HUSQVARNA                
131,BBW                      
132,GAMISOL                  
133,FERROLAN                 
134,TBI                      
135,BINZEL                   
136,RIDGID                   
137,3M                       
138,PROTO                    
139,PETIT                    
140,LIGA                     
141,INTERGAS                 
142,TIRFOR                   
143,POBERAJ                  
144,TRACCION                 
