CL_NUM,PC_COD,PC_POR,PC_MON,PC_KEY
2,1,0.0,3500.0,000000201
3,1,0.0,3500.0,000000301
4,1,0.0,3500.0,000000401
5,1,1.5,3500.0,000000501
6,1,6.0,3500.0,000000601
7,1,2.5,3500.0,000000701
8,1,6.0,3500.0,000000801
9,1,1.75,3500.0,000000901
10,1,1.6,3500.0,000001001
11,1,0.0,3500.0,000001101
12,1,0.0,3500.0,000001201
15,1,0.0,3500.0,000001501
16,1,5.0,3500.0,000001601
17,1,0.0,3500.0,000001701
18,1,1.6,3500.0,000001801
19,1,0.0,49.99,000001901
21,1,0.0,3500.0,000002101
22,1,0.0,3500.0,000002201
23,1,2.5,3500.0,000002301
24,1,1.6,3500.0,000002401
25,1,1.5,3500.0,000002501
26,1,1.6,3500.0,000002601
29,1,1.6,3500.0,000002901
30,1,5.0,3500.0,000003001
31,1,0.0,49.99,000003101
32,1,5.0,3500.0,000003201
33,1,0.0,49.99,000003301
34,1,6.0,3500.0,000003401
35,1,0.0,3500.0,000003501
36,1,0.0,3500.0,000003601
38,1,1.5,3500.0,000003801
39,1,0.0,3500.0,000003901
40,1,0.0,49.99,000004001
41,1,2.5,3500.0,000004101
42,1,0.0,3500.0,000004201
43,1,2.5,3500.0,000004301
44,1,0.0,49.99,000004401
45,1,6.0,3500.0,000004501
47,1,2.5,3500.0,000004701
48,1,1.5,3500.0,000004801
49,1,1.1,3500.0,000004901
50,1,0.0,3500.0,000005001
51,1,0.7,3500.0,000005101
52,1,5.0,3500.0,000005201
53,1,0.0,3500.0,000005301
54,1,5.0,3500.0,000005401
55,1,0.0,3500.0,000005501
56,1,0.2,3500.0,000005601
60,1,1.5,3500.0,000006001
61,1,0.0,3500.0,000006101
62,1,0.0,3500.0,000006201
63,1,2.5,3500.0,000006301
64,1,0.0,3500.0,000006401
65,1,0.0,3500.0,000006501
67,1,0.0,3500.0,000006701
69,1,0.0,3500.0,000006901
70,1,0.0,3500.0,000007001
71,1,0.0,3500.0,000007101
72,1,6.0,3500.0,000007201
74,1,0.3,3500.0,000007401
75,1,2.5,3500.0,000007501
76,1,2.5,3500.0,000007601
80,1,0.0,3500.0,000008001
82,1,0.0,49.99,000008201
83,1,0.0,3500.0,000008301
84,1,0.0,3500.0,000008401
85,1,0.0,49.99,000008501
86,1,0.0,3500.0,000008601
87,1,0.0,3500.0,000008701
88,1,6.0,3500.0,000008801
89,1,0.0,3500.0,000008901
90,1,0.0,3500.0,000009001
92,1,0.0,3500.0,000009201
94,1,1.5,3500.0,000009401
95,1,0.1,3500.0,000009501
96,1,0.0,3500.0,000009601
97,1,6.0,3500.0,000009701
98,1,0.0,3500.0,000009801
99,1,0.0,3500.0,000009901
100,1,6.0,3500.0,000010001
102,1,0.0,3500.0,000010201
103,1,0.0,3500.0,000010301
104,1,1.5,3500.0,000010401
105,1,0.0,49.99,000010501
107,1,6.0,3500.0,000010701
108,1,0.0,3500.0,000010801
109,1,0.0,3500.0,000010901
110,1,0.0,3500.0,000011001
111,1,6.0,3500.0,000011101
112,1,2.5,3500.0,000011201
113,1,0.0,49.99,000011301
114,1,6.0,3500.0,000011401
115,1,0.0,49.99,000011501
117,1,4.0,3500.0,000011701
118,1,2.5,3500.0,000011801
