PR_NUM,RT_COD,RT_POR,RT_MON,RT_KEY,RT_ACU,RT_IVA
2,50,2.5,19000.0,000000250,0,0
3,50,2.5,19000.0,000000350,0,0
4,50,2.5,19000.0,000000450,0,0
5,50,0.0,19000.0,000000550,0,0
7,50,0.0,19000.0,000000750,0,0
8,50,0.9,19000.0,000000850,0,0
9,50,0.9,19000.0,000000950,0,0
10,50,0.9,19000.0,000001050,0,0
11,50,2.5,19000.0,000001150,0,0
12,50,2.0,19000.0,000001250,0,0
13,50,2.5,19000.0,000001350,0,0
14,50,1.75,19000.0,000001450,0,0
16,50,1.5,19000.0,000001650,0,0
18,50,0.0,19000.0,000001850,0,0
19,50,0.0,399.99,000001950,0,0
20,50,2.5,19000.0,000002050,0,0
21,50,0.9,19000.0,000002150,0,0
23,50,1.75,19000.0,000002350,0,0
24,50,0.7,19000.0,000002450,0,0
25,50,2.5,19000.0,000002550,0,0
26,50,0.9,19000.0,000002650,0,0
27,50,2.5,19000.0,000002750,0,0
28,50,0.0,19000.0,000002850,0,0
29,50,3.5,19000.0,000002950,0,0
31,50,0.9,19000.0,000003150,0,0
32,50,2.0,19000.0,000003250,0,0
33,50,0.0,19000.0,000003350,0,0
34,50,0.5,19000.0,000003450,0,0
35,50,2.5,19000.0,000003550,0,0
36,50,0.7,19000.0,000003650,0,0
37,50,0.9,19000.0,000003750,0,0
38,50,0.7,19000.0,000003850,0,0
39,50,2.5,19000.0,000003950,0,0
40,50,0.9,19000.0,000004050,0,0
41,50,5.0,19000.0,000004150,0,0
43,50,1.75,19000.0,000004350,0,0
44,50,0.0,19000.0,000004450,0,0
45,50,0.0,19000.0,000004550,0,0
46,50,2.0,19000.0,000004650,0,0
48,50,0.9,19000.0,000004850,0,0
49,50,5.0,19000.0,000004950,0,0
50,50,2.5,19000.0,000005050,0,0
51,50,2.5,19000.0,000005150,0,0
52,50,2.5,19000.0,000005250,0,0
53,50,0.0,19000.0,000005350,0,0
54,50,0.9,19000.0,000005450,0,0
55,50,0.0,19000.0,000005550,0,0
57,50,0.9,19000.0,000005750,0,0
58,50,1.3,19000.0,000005850,0,0
59,50,2.5,19000.0,000005950,0,0
60,50,5.0,19000.0,000006050,0,0
61,50,0.0,19000.0,000006150,0,0
62,50,0.0,19000.0,000006250,0,0
63,50,2.5,19000.0,000006350,0,0
