ART_CODI,PACKWIDT,PACKWEIG,PACKVOLU,PACKUNIT,PACKLENG,PACKHEIG,PALLETUNI,PALLETLAY,DUN_1,DUN_2,DUN_3,PDUN_1,PDUN_2,PDUN_3
3663,0.0,0.0,0.0,0,0.0,0.0,0,0,,,,0,0,0
3540,0.0,0.0,0.0,0,0.0,0.0,0,0,,,,0,0,0
7720,0.0,0.0,0.0,0,0.0,0.0,0,0,,,,0,0,0
32155,0.0,0.0,0.0,0,0.0,0.0,0,0,,,,0,0,0
25828,0.0,0.0,0.0,0,0.0,0.0,0,0,,,,0,0,0
21625,0.0,0.0,0.0,0,0.0,0.0,0,0,,,,0,0,0
2988,0.0,0.0,0.0,0,0.0,0.0,0,0,,,,0,0,0
9124,0.0,0.0,0.0,0,0.0,0.0,0,0,,,,0,0,0
9532,0.0,0.0,0.0,0,0.0,0.0,0,0,,,,0,0,0
22604,0.0,0.0,0.0,0,0.0,0.0,0,0,,,,0,0,0
