MED_CODI,MED_DETA,MED_ABRE,MED_ACTI,MED_ACPV,MED_RETE,MED_AGEN,MED_EXEN,MED_PORC,MED_DESC,MED_AGRU,MED_PADR,MED_VUEL,MED_DETL,MED_IMRE,MED_RIVA,M_GRUPO
1,EFECTIVO              ,EFE,1,1,0,0,0.0,0.0,0.0,0,,0,,0,0,0
2,CTA.CTE               ,CTA,1,1,0,0,0.0,0.0,0.0,0,,0,,0,0,0
3,CHEQUES               ,CHQ,1,1,0,0,0.0,0.0,0.0,0,,0,,0,0,0
4,TARJETAS              ,TAR,1,1,0,0,0.0,0.0,0.0,0,,0,,0,0,0
5,TRANS.BANCARIA        ,TBA,1,1,0,0,0.0,0.0,0.0,0,,0,,0,0,0
6,DOLARES               ,DOL,1,1,0,0,0.0,0.0,0.0,0,,0,,0,0,0
50,RET. IIBB BS.AS.      ,,1,0,1,0,19000.0,0.0,0.0,1,\\Sgestioner\grwjuliocontisrl\ARBA\RGSRet022026.TXT                                                 ,0,,0,0,0
51,RET.GANANCIAS         ,,1,0,1,0,0.0,0.0,0.0,2,,0,,0,0,0
52,RET. IVA              ,,1,0,1,0,0.0,0.0,0.0,3,,0,,0,0,0
53,RET.SUSS              ,,1,0,1,0,0.0,0.0,0.0,4,,0,RET. SEGURIDAD SOCIAL                                       ,0,0,0
54,RET.IIBB SANTA FE     ,,1,0,1,0,0.0,0.0,0.0,5,,0,,0,0,0
55,RET.IIBB CABA         ,,1,0,1,0,0.0,0.0,0.0,1,,0,RETENCION IIBB CAPITAL FEDERAL                              ,0,0,0
7,MERCADOPAGO           ,MP ,1,0,0,0,0.0,0.0,0.0,0,,0,MERCADO PAGO                                                ,0,0,0
8,QR PAYWAY             ,QRP,1,0,0,0,0.0,0.0,0.0,0,,0,QR PAYWAY                                                   ,0,0,0
9,CERTIVA               ,SIR,1,0,0,0,0.0,0.0,0.0,1,,0,TRANSFERENCIA SIR                                           ,0,0,0
