DBLUEC,DBLUEV,BDBLUEC,DOFIC,DOFIV,DBOLSAC,DBOLSAV,DCCLC,DCCLV,DMAYC,DMAYV,DCRIPTOC,DCRIPTOV,DTARJC,DTARJV,FECHAACT,INDICEI,INDICEIF,HORAACT,FECHAREG,HORAREG
1260.0,1280.0,-15.0,1225.0,1275.0,1254.0,1260.1,1256.9,1259.1,1246.0,1255.0,1277.5,1281.89,1592.5,1657.5,2025-07-10,1.5,2025-05-31,07:44:29,2025-07-10,07:44:29
1275.0,1295.0,0.0,1225.0,1275.0,1267.3,1270.4,1265.7,1270.1,1246.0,1255.0,1281.0,1284.85,1592.5,1657.5,2025-07-11,1.5,2025-05-31,07:44:28,2025-07-11,07:44:28
1485.0,1505.0,-10.0,1445.0,1495.0,1543.9,1559.4,1562.1,1569.0,1466.0,1475.0,1514.0,1520.0,1878.5,1943.5,2025-10-21,2.1,2025-09-30,07:41:45,2025-10-21,07:41:45
1485.0,1505.0,-5.0,1440.0,1490.0,1506.5,1509.4,1553.7,1554.1,1462.0,1471.0,1511.6,1511.7,1872.0,1937.0,2026-06-23,2.1,2026-05-31,16:56:11,2026-06-23,16:56:11
1485.0,1505.0,-5.0,1440.0,1490.0,1506.5,1509.4,1553.7,1554.1,1462.0,1471.0,1511.6,1511.7,1872.0,1937.0,2026-06-23,2.1,2026-05-31,16:56:18,2026-06-23,16:56:18
1485.0,1505.0,-5.0,1440.0,1490.0,1506.5,1509.4,1553.7,1554.1,1462.0,1471.0,1511.6,1511.7,1872.0,1937.0,2026-06-23,2.1,2026-05-31,16:56:34,2026-06-23,16:56:34
1485.0,1505.0,-10.0,1445.0,1495.0,1505.8,1505.8,1552.5,1552.5,1467.0,1476.0,1511.6,1511.7,1878.5,1943.5,2026-06-24,2.1,2026-05-31,11:20:58,2026-06-24,11:20:58
1485.0,1505.0,-10.0,1445.0,1495.0,1505.8,1505.8,1552.5,1552.5,1467.0,1476.0,1511.6,1511.7,1878.5,1943.5,2026-06-24,2.1,2026-05-31,11:21:38,2026-06-24,11:21:38
1500.0,1520.0,5.0,1445.0,1495.0,1507.1,1509.8,1553.4,1554.0,1469.0,1478.0,1511.6,1511.7,1878.5,1943.5,2026-06-24,2.1,2026-05-31,12:49:03,2026-06-24,12:49:03
1490.0,1510.0,-5.0,1445.0,1495.0,1506.1,1508.7,1553.8,1555.5,1472.5,1481.5,1511.6,1511.7,1878.5,1943.5,2026-06-30,2.1,2026-05-31,08:17:11,2026-06-30,08:17:11
1495.0,1515.0,-5.0,1450.0,1500.0,1513.0,1516.3,1561.4,1561.8,1473.0,1482.0,1511.6,1511.7,1885.0,1950.0,2026-06-30,2.1,2026-05-31,16:31:58,2026-06-30,16:31:58
