VTA_COD1,VTA_COD2,VTA_COD3,VTA_COD4,VTA_COD5,VTA_CODI,VTA_DET1,VTA_DET2,VTA_DET3,VTA_DET4,VTA_CANT,VTA_IVA,VTA_IMP,VTA_COST,VTA_SUBT,VTA_PACK,OPE_OPER,VTA_CAJA,VTA_UNSU,CFG_ID,CMI_FECH,CMI_HORA,CMI_COMP,CMI_SUCU,CMI_ORIG,CMI_DEST,W_CTDORI
1618596173   ,1618596173   ,,0,,1930,MECHA BOSCH SDS PLUS  8*100*165                   ,,,,20.0,21.0,0.0,54.799,1095.98,1,0002-CONTI JULIO                   ,0,20,26775,2017-05-03,09:52:15,CMI-00000001,0,Central DEPO 1                     ,Central DEPO 2                     ,
1618596181   ,1618596181   ,,0,,1933,MECHA BOSCH SDS PLUS 12*100*165                   ,,,,10.0,21.0,0.0,76.242,762.42,1,0002-CONTI JULIO                   ,0,10,26775,2017-05-03,09:52:15,CMI-00000001,0,Central DEPO 1                     ,Central DEPO 2                     ,
1618596268   ,,,0,,9351,MECHA BOSCH SDS PLUS 12*150*215                   ,,,,10.0,21.0,0.0,83.146,831.46,1,0002-CONTI JULIO                   ,0,10,26775,2017-05-03,09:52:15,CMI-00000001,0,Central DEPO 1                     ,Central DEPO 2                     ,
1618596270   ,1618596270   ,,0,,1941,MECHA BOSCH SDS PLUS 14*150*215                   ,,,,10.0,21.0,0.0,89.03,890.3,1,0002-CONTI JULIO                   ,0,10,26775,2017-05-03,09:52:15,CMI-00000001,0,Central DEPO 1                     ,Central DEPO 2                     ,
1618596182   ,1618596182   ,,0,,1934,MECHA BOSCH SDS PLUS 12*200*265                   ,,,,10.0,21.0,0.0,93.156,931.56,1,0002-CONTI JULIO                   ,0,10,26775,2017-05-03,09:52:15,CMI-00000001,0,Central DEPO 1                     ,Central DEPO 2                     ,
060137B1H0   ,,,0,,3652,LIJADORA BOSCH EXCENTRICA 400W 150MM GEX125 150AVE,,,,2.0,21.0,0.0,5221.865,10443.73,1,0002-CONTI JULIO                   ,0,2,26775,2017-05-03,09:52:15,CMI-00000001,0,Central DEPO 1                     ,Central DEPO 2                     ,
06014450H0   ,,,0,,13217,ATORNILLADOR BOSCH 700W GSR 6-25 TE               ,,,,5.0,21.0,0.0,3606.266,18031.33,1,0002-CONTI JULIO                   ,0,5,26775,2017-05-03,09:52:15,CMI-00000001,0,Central DEPO 1                     ,Central DEPO 2                     ,
0601892FH0   ,,,0,,5075,AMOLADORA BOSCH 180MM 2400W GWS 24-180 LVI        ,,,,10.0,21.0,0.0,4385.217,43852.17,1,0002-CONTI JULIO                   ,0,10,26775,2017-05-03,09:52:15,CMI-00000001,0,Central DEPO 1                     ,Central DEPO 2                     ,
06112640H0   ,,,0,,3632,MARTILLO BOSCH ROTOP.SDS MAX 1100W GBH 5-40 DCE   ,,,,2.0,21.0,0.0,11303.959,22607.918,1,0002-CONTI JULIO                   ,0,2,26775,2017-05-03,09:52:15,CMI-00000001,0,Central DEPO 1                     ,Central DEPO 2                     ,
06112650H0   ,,,0,,14546,MARTILLO BOSCH ROTOP.SDS MAX 1500W GBH  8-45 DV   ,,,,1.0,21.0,0.0,14810.1,14810.1,1,0002-CONTI JULIO                   ,0,1,26775,2017-05-03,09:52:15,CMI-00000001,0,Central DEPO 1                     ,Central DEPO 2                     ,
