FE_CODI,FE_DETA,FE_COAF
1,1:Factura A (20100917 NULL)                                                                         ,1
1,2:Nota de Débito A (20100917 NULL)                                                                  ,2
1,3:Nota de Crédito A (20100917 NULL)                                                                 ,3
1,6:Factura B (20100917 NULL)                                                                         ,6
1,7:Nota de Débito B (20100917 NULL)                                                                  ,7
1,8:Nota de Crédito B (20100917 NULL)                                                                 ,8
1,4:Recibos A (20100917 NULL)                                                                         ,4
1,5:Notas de Venta al contado A (20100917 NULL)                                                       ,5
1,9:Recibos B (20100917 NULL)                                                                         ,9
1,10:Notas de Venta al contado B (20100917 NULL)                                                      ,10
1,63:Liquidacion A (20100917 NULL)                                                                    ,63
1,64:Liquidacion B (20100917 NULL)                                                                    ,64
1,"34:Cbtes. A del Anexo I, Apartado A,inc.f),R.G.Nro. 1415 (20100917 NULL)                            ",34
1,"35:Cbtes. B del Anexo I,Apartado A,inc. f),R.G. Nro. 1415 (20100917 NULL)                           ",35
1,39:Otros comprobantes A que cumplan con R.G.Nro. 1415 (20100917 NULL)                               ,39
1,40:Otros comprobantes B que cumplan con R.G.Nro. 1415 (20100917 NULL)                               ,40
1,60:Cta de Vta y Liquido prod. A (20100917 NULL)                                                     ,60
1,61:Cta de Vta y Liquido prod. B (20100917 NULL)                                                     ,61
1,11:Factura C (20110426 NULL)                                                                        ,11
1,12:Nota de Débito C (20110426 NULL)                                                                 ,12
1,13:Nota de Crédito C (20110426 NULL)                                                                ,13
1,15:Recibo C (20110426 NULL)                                                                         ,15
1,49:Comprobante de Compra de Bienes Usados a Consumidor Final (20130904 NULL)                        ,49
1,51:Factura M (20150522 NULL)                                                                        ,51
1,52:Nota de Débito M (20150522 NULL)                                                                 ,52
1,53:Nota de Crédito M (20150522 NULL)                                                                ,53
1,54:Recibo M (20150522 NULL)                                                                         ,54
1,201:Factura de Crédito electrónica MiPyMEs (FCE) A (20190310 NULL)                                  ,201
1,202:Nota de Débito electrónica MiPyMEs (FCE) A (20190310 NULL)                                      ,202
1,203:Nota de Crédito electrónica MiPyMEs (FCE) A (20190310 NULL)                                     ,203
1,206:Factura de Crédito electrónica MiPyMEs (FCE) B (20190310 NULL)                                  ,206
1,207:Nota de Débito electrónica MiPyMEs (FCE) B (20190310 NULL)                                      ,207
1,208:Nota de Crédito electrónica MiPyMEs (FCE) B (20190310 NULL)                                     ,208
1,211:Factura de Crédito electrónica MiPyMEs (FCE) C (20190310 NULL)                                  ,211
1,212:Nota de Débito electrónica MiPyMEs (FCE) C (20190310 NULL)                                      ,212
1,213:Nota de Crédito electrónica MiPyMEs (FCE) C (20190310 NULL)                                     ,213
2,PES:Pesos Argentinos (20090403 NULL)                                                                ,0
2,DOL:Dólar Estadounidense (20090403 NULL)                                                            ,0
2,002:Dólar Libre EEUU (20090416 NULL)                                                                ,2
2,007:Florines Holandeses (20090403 NULL)                                                             ,7
2,010:Pesos Mejicanos (20090403 NULL)                                                                 ,10
2,011:Pesos Uruguayos (20090403 NULL)                                                                 ,11
2,014:Coronas Danesas (20090403 NULL)                                                                 ,14
2,015:Coronas Noruegas (20090403 NULL)                                                                ,15
2,016:Coronas Suecas (20090403 NULL)                                                                  ,16
2,018:Dólar Canadiense (20090403 NULL)                                                                ,18
2,019:Yens (20090403 NULL)                                                                            ,19
2,021:Libra Esterlina (20090403 NULL)                                                                 ,21
2,023:Bolívar Venezolano (20090403 NULL)                                                              ,23
2,024:Corona Checa (20090403 NULL)                                                                    ,24
2,025:Dinar Yugoslavo (20090403 NULL)                                                                 ,25
2,026:Dólar Australiano (20090403 NULL)                                                               ,26
2,027:Dracma Griego (20090403 NULL)                                                                   ,27
2,028:Florín (Antillas Holandesas) (20090403 NULL)                                                    ,28
2,029:Güaraní (20090403 NULL)                                                                         ,29
2,031:Peso Boliviano (20090403 NULL)                                                                  ,31
2,032:Peso Colombiano (20090403 NULL)                                                                 ,32
2,033:Peso Chileno (20090403 NULL)                                                                    ,33
2,034:Rand Sudafricano (20090403 NULL)                                                                ,34
2,036:Sucre Ecuatoriano (20090403 NULL)                                                               ,36
2,051:Dólar de Hong Kong (20090403 NULL)                                                              ,51
2,052:Dólar de Singapur (20090403 NULL)                                                               ,52
2,053:Dólar de Jamaica (20090403 NULL)                                                                ,53
2,054:Dólar de Taiwan (20090403 NULL)                                                                 ,54
2,055:Quetzal Guatemalteco (20090403 NULL)                                                            ,55
2,056:Forint (Hungría) (20090403 NULL)                                                                ,56
2,057:Baht (Tailandia) (20090403 NULL)                                                                ,57
2,059:Dinar Kuwaiti (20090403 NULL)                                                                   ,59
2,012:Real (20090403 NULL)                                                                            ,12
2,030:Shekel (Israel) (20090403 NULL)                                                                 ,30
2,035:Nuevo Sol Peruano (20090403 NULL)                                                               ,35
2,060:Euro (20090403 NULL)                                                                            ,60
2,040:Lei Rumano (20090415 NULL)                                                                      ,40
2,042:Peso Dominicano (20090415 NULL)                                                                 ,42
2,043:Balboas Panameñas (20090415 NULL)                                                               ,43
2,044:Córdoba Nicaragüense (20090415 NULL)                                                            ,44
2,045:Dirham Marroquí (20090415 NULL)                                                                 ,45
2,046:Libra Egipcia (20090415 NULL)                                                                   ,46
2,047:Riyal Saudita (20090415 NULL)                                                                   ,47
2,061:Zloty Polaco (20090415 NULL)                                                                    ,61
2,062:Rupia Hindú (20090415 NULL)                                                                     ,62
2,063:Lempira Hondureña (20090415 NULL)                                                               ,63
2,064:Yuan (Rep. Pop. China) (20090415 NULL)                                                          ,64
2,009:Franco Suizo (20091110 NULL)                                                                    ,9
2,041:Derechos Especiales de Giro (20100125 NULL)                                                     ,41
2,049:Gramos de Oro Fino (20100125 NULL)                                                              ,49
3,80:CUIT (20080725 NULL)                                                                             ,80
3,86:CUIL (20080725 NULL)                                                                             ,86
3,87:CDI (20080725 NULL)                                                                              ,87
3,89:LE (20080725 NULL)                                                                               ,89
3,90:LC (20080725 NULL)                                                                               ,90
3,91:CI Extranjera (20080725 NULL)                                                                    ,91
3,92:en trámite (20080725 NULL)                                                                       ,92
3,93:Acta Nacimiento (20080725 NULL)                                                                  ,93
3,95:CI Bs. As. RNP (20080725 NULL)                                                                   ,95
3,96:DNI (20080725 NULL)                                                                              ,96
3,94:Pasaporte (20080725 NULL)                                                                        ,94
3,0:CI Policía Federal (20080725 NULL)                                                                ,0
3,1:CI Buenos Aires (20080725 NULL)                                                                   ,1
3,2:CI Catamarca (20080725 NULL)                                                                      ,2
3,3:CI Córdoba (20080725 NULL)                                                                        ,3
3,4:CI Corrientes (20080728 NULL)                                                                     ,4
3,5:CI Entre Ríos (20080728 NULL)                                                                     ,5
3,6:CI Jujuy (20080728 NULL)                                                                          ,6
3,7:CI Mendoza (20080728 NULL)                                                                        ,7
3,8:CI La Rioja (20080728 NULL)                                                                       ,8
3,9:CI Salta (20080728 NULL)                                                                          ,9
3,10:CI San Juan (20080728 NULL)                                                                      ,10
3,11:CI San Luis (20080728 NULL)                                                                      ,11
3,12:CI Santa Fe (20080728 NULL)                                                                      ,12
3,13:CI Santiago del Estero (20080728 NULL)                                                           ,13
3,14:CI Tucumán (20080728 NULL)                                                                       ,14
3,16:CI Chaco (20080728 NULL)                                                                         ,16
3,17:CI Chubut (20080728 NULL)                                                                        ,17
3,18:CI Formosa (20080728 NULL)                                                                       ,18
3,19:CI Misiones (20080728 NULL)                                                                      ,19
3,20:CI Neuquén (20080728 NULL)                                                                       ,20
3,21:CI La Pampa (20080728 NULL)                                                                      ,21
3,22:CI Río Negro (20080728 NULL)                                                                     ,22
3,23:CI Santa Cruz (20080728 NULL)                                                                    ,23
3,24:CI Tierra del Fuego (20080728 NULL)                                                              ,24
3,99:Doc. (otro) (20080728 NULL)                                                                      ,99
4,1:Impuestos nacionales (20100917 NULL)                                                              ,1
4,2:Impuestos provinciales (20100917 NULL)                                                            ,2
4,3:Impuestos municipales (20100917 NULL)                                                             ,3
4,4:Impuestos Internos (20100917 NULL)                                                                ,4
4,99:Otro (20100917 NULL)                                                                             ,99
4,5:IIBB (20170829 NULL)                                                                              ,5
4,6:Percepción de IVA (20170829 NULL)                                                                 ,6
4,7:Percepción de IIBB (20170829 NULL)                                                                ,7
4,8:Percepciones por Impuestos Municipales (20170829 NULL)                                            ,8
4,9:Otras Percepciones (20170829 NULL)                                                                ,9
4,13:Percepción de IVA a no Categorizado (20170829 NULL)                                              ,13
5,3:0% (20090220 NULL)                                                                                ,3
5,4:10.5% (20090220 NULL)                                                                             ,4
5,5:21% (20090220 NULL)                                                                               ,5
5,6:27% (20090220 NULL)                                                                               ,6
5,8:5% (20141009 NULL)                                                                                ,8
5,9:2.5% (20141009 NULL)                                                                              ,9
6,1:Producto (20100917 NULL)                                                                          ,1
6,2:Servicios (20100917 NULL)                                                                         ,2
6,3:Productos y Servicios (20100917 NULL)                                                             ,3
7,3:CAE - Ri Iva (N NULL)                                                                             ,3
8,2:RG Empresas Promovidas - Indentificador de proyecto vinculado a Régimen de Promoción Industrial (2,2
8,91:RG Bienes Usados 3411 - Nombre y Apellido o Denominación del vendedor del bien usado. (20130326 N,91
8,92:RG Bienes Usados 3411 - Nacionalidad del vendedor del bien usado. (20130326 NULL)                ,92
8,93:RG Bienes Usados 3411 - Domicilio del vendedor del bien usado. (20130326 NULL)                   ,93
8,5:Excepcion computo IVA Credito Fiscal (20141016 NULL)                                              ,5
8,61:RG 3668 Impuesto al Valor Agregado - Art.12 IVA Firmante Doc Tipo (20141016 NULL)                ,61
8,62:RG 3668 Impuesto al Valor Agregado - Art.12 IVA Firmante Doc Nro (20141016 NULL)                 ,62
8,7:RG 3668 Impuesto al Valor Agregado - Art.12 IVA Carácter del Firmante (20141016 NULL)             ,7
8,10:RG 3.368 Establecimientos de educación pública de gestión privada - Actividad Comprendida (201506,10
8,1011:RG 3.368 Establecimientos de educación pública de gestión privada - Tipo de Documento (20150605,1011
8,1012:RG 3.368 Establecimientos de educación pública de gestión privada - Número de Documento (201506,1012
8,11:RG 2.820 Operaciones económicas vinculadas con bienes inmuebles - Actividad Comprendida (20150605,11
8,12:RG 3.687 Locación temporaria de inmuebles con fines turísticos - Actividad Comprendida (20150605 ,12
8,13:RG 2.863 Representantes de Modelos (20160101 NULL)                                               ,13
8,14:RG 2.863 Agencias de publicidad (20160101 NULL)                                                  ,14
8,15:RG 2.863 Personas físicas que desarrollen actividad de modelaje (20160101 NULL)                  ,15
