TER_NUME,TER_NAME,TER_SERI
1,CONTISRL-PC5                                      ,AE6A398             
10,CONTIPC1                                          ,DCCE340             
11,DESKTOP-14EJJIM                                   ,3087A93             
12,CONTISRL-PC5                                      ,4619066             
14,Districon-PC                                      ,EC7650E             
9,pc9                                               ,4619066             
20,PC8                                               ,4619066             
5,PCJULIO                                           ,AE6A398             
6,PCJULIO                                           ,AE6A398             
4,usuario-PC                                        ,EC7650E             
8,pc9                                               ,EC7650E             
25,DESKTOP-72JM3T8                                   ,90EA4EE             
30,DISTRICON                                         ,3636A90             
35,SGESTIONER                                        ,1E6F985             
